"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"H19",0,0,0,248.95,0,0,0,0,0,0,0,0,1.2,0,0,52.77,0.3,152.46,0,125.32,14.58,272.06,3.69,0,284.9,25.59,22.47,0.78,59.91,0,85.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Narf",0,292.66,0,0,126.38,0.56,4.23,0,0,162.46,6.24,18.57,0,0.16,13.89,0,0,34.71,51.51,17.58,24.44,0,0,0,75.25,15.39,0,0,0,0,29.15,0,1.5,0,5.59,2.58,0.22,0,0,0,0,0,0,17.78,0.78,0,13.59,1.67,14.38,0,8.62,19.62,45.01,0,87.89,0,2.65,0.29,0,0.48,2.19,29.42,18.56,0,0,0.15,11.2,0,32.17,5.57,0,0,0,1.35,161.32,0,0.14,3.83
"Cav2",0,0,0,0,14.34,301.6,0,12.16,58.58,106.23,150.3,6.54,5.84,1.89,89.53,97.03,0,0,65.81,247.78,322.92,66.26,4.23,0.49,0,89.71,377.72,147.63,0,0,0,0.55,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.39,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klf6",11.65,171.93,2.56,203.1,7.05,189.5,248.97,519.6,455.05,91.7,24.61,4.02,160.4,0,1.66,126.53,10.16,0.54,50.79,19.46,117.43,87.05,31.9,20.56,2.49,93.47,125.91,116.5,80.86,61.52,89.82,48.24,149.84,0,104.63,0,12.59,0.64,66.4,27.02,49.75,0,103.18,93.38,80.87,0,10.39,0.58,51.3,80,29.11,28.08,0,35.04,105.13,5.25,8.2,41.92,0,1.25,0,0,40.74,62.95,9.18,3.35,45.85,11.02,72.65,1.05,44.26,0.34,15.63,231.36,241.79,0,123.86,123.3
"Scmh1",7.41,0,2.57,33.11,320.07,11.29,26.05,138.74,0,95.99,36.59,0,47.76,0,0,0,1.77,2.08,35.76,0,11.78,0,9.66,0.92,0,8.59,21.81,5.37,0,18.42,121.41,0.44,238.34,0,5.71,233.72,0,0,0.77,0,433.6,0,105.88,232.58,31.57,0.22,4.84,80.26,0,0,1.47,41.44,0,0,32.55,0,0.41,0.18,0,49.67,0,0,8.65,70.13,0,0,0,331.77,157,0,144.82,21.28,0,0,0,12.11,126.3,3.56
"Tbx2",5.39,0,0,0,0,0,0,0,5.47,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,14.86,0,19.9,0,0,12.69,30.69,0,0,35.31,0,0,0.36,20.55,6.22,0.19,31.19,3.33,0.24,15.89,2.43,0.58,27.88,0,0,0,24.42,32.33,0.12,0,0,36.88,0,0,0,0,0,2.1,0.91,2.31,0,0,2.61,0.41,0,0.2,1.93,11.86,1.08,0,1.9,0
"Fer",0,0,0,145.22,0,4.86,0,87.14,0,6.56,3.18,53.52,0,23.88,1.33,7.58,0,3.1,122.85,0,0,0,1.59,1.32,0,13.15,96.19,0.4,0,0,20.23,10.47,43.21,0,17.59,0,0,51.89,14.92,11.26,0,0,0,75.71,0,0,0,27.71,32.73,0,0,67.23,0,0,88.65,262.03,0,20.1,78.65,198.09,0,13.05,58.35,28.82,45.74,0.65,0,0,0,22.88,12.21,5.38,0,4.7,0,0,76.05,0
"Xpo6",6.85,0.79,1.01,0,28.94,1.35,0,47.47,4.4,0,0.18,0,0,42.27,65.01,0.36,32.7,0,0,0,43.7,0,96.16,25.3,0,0,0,7.15,0,0,8.25,106.95,93.39,6.02,0.27,15,7.57,20.39,106.76,15.73,82.84,0.25,19.24,20.29,66.31,62.32,116.42,33.78,14.69,171.53,22.55,22.18,0,0,3.21,43.74,0,6.11,0,17.95,70.76,443.02,241.11,65.13,300.87,17.76,14.58,62.04,81.39,2.2,100.28,147.87,5.75,36.94,122.47,0,69.58,38.33
"Tfe3",0,0,10.45,4.9,242.68,0,0,0,0,58.61,0,0,0,5.28,0,0,23.43,0.48,3.06,0,107.39,0,9.07,0,0,1.88,0.3,0,0,0.32,48.4,36.41,72.52,168,2.94,74.6,109.7,2.37,0.83,0,0,0,2.22,15.62,88,22.35,3.69,110.58,0,0.77,7.27,20.67,35.57,129.97,0,5.9,0,30.85,0,2.96,0,34.62,4.5,28.62,10.9,0,0,19.05,9.32,0,0,1.12,15.24,4.21,11.71,0,25.96,19.78
"Axin2",0,0,3.33,0,0,51.08,1.18,0,0,0,0,9.22,0,0,0,13.47,0,0,0,0,42.47,0,26,0,0,1.25,0,0.61,0,0,0.66,4.78,4.07,0.24,0,97.74,0,0,0,10.6,0,2.08,2.52,39.29,0.88,5.93,4.15,20.64,9.69,0,41.65,2.86,11.75,0,0,0,17.08,0,48.51,0,0,83.89,92.78,0,0,0,13.98,0,17.07,0,2.23,18.52,0,0,21.88,0,0.29,0
